,state,customer_lifetime_value,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
1890,CA,8745.0,No,Basic,Bachelor,Employed,M,61706,Rural,Married,110,6.0,71,0.0,7,Corporate Auto,Corporate L3,Offer3,Call Center,224.0,SUV,Small,February
1891,CA,2896.0,No,Basic,High School or Below,Employed,M,46267,Urban,Married,72,4.0,73,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,232.0,Four-Door Car,Medsize,January
1892,WA,16553.0,No,Extended,Doctor,Employed,F,98912,Suburban,Married,135,18.0,92,0.0,2,Personal Auto,Personal L3,Offer1,Agent,715.0,SUV,Large,February
1893,CA,4715.0,No,Extended,High School or Below,Unemployed,F,0,Suburban,Married,126,13.0,91,0.0,1,Personal Auto,Personal L3,Offer2,Web,694.0,SUV,Medsize,February
1894,OR,18042.0,No,Extended,Master,Employed,M,35704,Rural,Married,225,21.0,35,0.0,8,Personal Auto,Personal L3,Offer1,Branch,358.0,Luxury Car,Medsize,January
1895,CA,13258.0,No,Basic,College,Medical Leave,M,20754,Suburban,Divorced,184,19.0,15,0.0,7,Personal Auto,Personal L3,Offer1,Agent,1325.0,Luxury SUV,Medsize,February
1896,AZ,5378.0,No,Basic,High School or Below,Employed,M,34528,Urban,Married,69,22.0,0,2.0,7,Corporate Auto,Corporate L3,Offer1,Agent,184.0,Four-Door Car,Large,February
1897,CA,14652.0,No,Extended,Bachelor,Employed,M,74915,Urban,Married,122,13.0,17,0.0,2,Personal Auto,Personal L2,Offer3,Branch,393.0,SUV,Medsize,January
1898,CA,4961.0,No,Basic,High School or Below,Medical Leave,M,21638,Suburban,Married,65,9.0,81,0.0,8,Personal Auto,Personal L3,Offer1,Web,468.0,Four-Door Car,Small,February
1899,OR,4756.0,No,Premium,High School or Below,Employed,M,56146,Urban,Married,119,0.0,91,0.0,1,Corporate Auto,Corporate L2,Offer4,Web,402.0,Four-Door Car,Large,February
1900,NV,2865.0,No,Basic,Master,Employed,F,91368,Suburban,Divorced,71,13.0,95,0.0,1,Personal Auto,Personal L1,Offer1,Agent,395.0,Four-Door Car,Large,February
1901,CA,5659.0,No,Basic,College,Employed,F,52389,Suburban,Married,72,29.0,8,1.0,9,Personal Auto,Personal L3,Offer1,Agent,346.0,Four-Door Car,Medsize,February
1902,OR,8511.0,No,Basic,High School or Below,Employed,M,26032,Suburban,Married,109,18.0,25,0.0,3,Personal Auto,Personal L2,Offer2,Web,638.0,SUV,Medsize,February
1903,CA,2454.0,Yes,Basic,Bachelor,Medical Leave,M,29735,Suburban,Single,69,3.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Agent,331.0,Four-Door Car,Medsize,February
1904,WA,3362.0,No,Extended,Bachelor,Employed,M,22853,Urban,Married,87,16.0,89,0.0,1,Personal Auto,Personal L1,Offer4,Agent,316.0,Four-Door Car,Medsize,January
1905,CA,4336.0,No,Basic,High School or Below,Employed,M,30574,Urban,Single,114,19.0,10,1.0,1,Corporate Auto,Corporate L2,Offer3,Web,396.0,Sports Car,Medsize,January
1906,OR,3562.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,105,3.0,30,0.0,1,Personal Auto,Personal L3,Offer4,Web,504.0,SUV,Medsize,February
1907,OR,5936.0,No,Basic,College,Employed,M,90263,Suburban,Married,74,17.0,36,0.0,8,Personal Auto,Personal L1,Offer4,Web,355.0,Two-Door Car,Medsize,January
1908,CA,14628.0,No,Basic,College,Employed,M,63936,Urban,Single,189,4.0,29,0.0,5,Personal Auto,Personal L3,Offer1,Agent,765.0,Luxury Car,Medsize,February
1909,OR,6394.0,No,Basic,Master,Unemployed,M,0,Suburban,Single,66,4.0,6,2.0,2,Personal Auto,Personal L3,Offer1,Agent,317.0,Four-Door Car,Large,January
1910,OR,5284.0,No,Basic,High School or Below,Employed,F,37640,Urban,Divorced,67,25.0,74,0.0,4,Personal Auto,Personal L2,Offer1,Call Center,174.0,Two-Door Car,Medsize,February
1911,NV,6699.0,No,Basic,College,Disabled,F,21114,Suburban,Single,180,7.0,59,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,864.0,Luxury Car,Medsize,January
1912,CA,2698.0,No,Basic,High School or Below,Employed,M,88867,Suburban,Single,69,6.0,2,1.0,1,Personal Auto,Personal L1,Offer3,Web,331.0,Four-Door Car,Medsize,January
1913,CA,2851.0,No,Basic,High School or Below,Employed,F,55274,Suburban,Married,71,14.0,35,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,485.0,Two-Door Car,Medsize,February
1914,NV,4905.0,Yes,Extended,College,Retired,F,12902,Suburban,Divorced,139,3.0,51,0.0,1,Personal Auto,Personal L1,Offer1,Agent,667.0,Sports Car,Medsize,February
1915,CA,3509.0,Yes,Extended,College,Medical Leave,M,20978,Suburban,Married,98,19.0,96,1.0,1,Personal Auto,Personal L3,Offer2,Branch,1176.0,Four-Door Car,Small,January
1916,CA,2726.0,No,Basic,High School or Below,Employed,F,39161,Suburban,Married,71,8.0,84,3.0,1,Personal Auto,Personal L3,Offer1,Branch,341.0,Four-Door Car,Medsize,January
1917,OR,2990.0,No,Basic,Bachelor,Employed,F,79867,Rural,Divorced,74,25.0,76,1.0,1,Personal Auto,Personal L2,Offer1,Branch,78.0,Four-Door Car,Small,February
1918,OR,4981.0,No,Basic,Master,Employed,F,53265,Urban,Married,62,12.0,27,0.0,3,Personal Auto,Personal L2,Offer2,Call Center,238.0,Four-Door Car,Small,February
1919,AZ,4774.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,1.0,31,0.0,3,Personal Auto,Personal L2,Offer4,Web,526.0,Four-Door Car,Medsize,January
1920,NV,7759.0,No,Extended,High School or Below,Employed,F,96162,Urban,Single,97,9.0,91,0.0,4,Corporate Auto,Corporate L3,Offer2,Agent,377.0,Four-Door Car,Small,February
1921,AZ,8190.0,No,Basic,Doctor,Employed,M,72191,Urban,Married,68,19.0,48,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,209.0,Four-Door Car,Medsize,February
1922,OR,4270.0,Yes,Extended,College,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Corporate Auto,Corporate L3,Offer2,Agent,726.0,SUV,Medsize,January
1923,WA,2429.0,No,Basic,High School or Below,Medical Leave,F,26736,Suburban,Married,63,6.0,64,0.0,1,Personal Auto,Personal L1,Offer1,Agent,368.0,Four-Door Car,Medsize,January
1924,CA,2490.0,No,Basic,High School or Below,Employed,F,75474,Suburban,Married,62,12.0,7,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,298.0,Two-Door Car,Medsize,February
1925,AZ,10808.0,No,Extended,High School or Below,Employed,M,31063,Suburban,Married,92,20.0,19,0.0,2,Personal Auto,Personal L2,Offer2,Agent,442.0,Four-Door Car,Small,January
1926,OR,4836.0,No,Premium,High School or Below,Unemployed,M,0,Suburban,Divorced,140,15.0,87,0.0,1,Personal Auto,Personal L2,Offer3,Branch,672.0,SUV,Small,February
1927,CA,12488.0,No,Premium,High School or Below,Employed,F,31283,Suburban,Married,104,18.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Agent,499.0,Four-Door Car,Medsize,January
1928,NV,8901.0,No,Basic,Bachelor,Employed,M,76558,Urban,Married,74,2.0,45,0.0,2,Special Auto,Special L1,Offer4,Agent,217.0,Four-Door Car,Medsize,January
1929,WA,8410.0,No,Basic,College,Employed,F,53986,Rural,Married,70,22.0,37,1.0,2,Corporate Auto,Corporate L3,Offer1,Branch,128.0,Four-Door Car,Medsize,February
1930,AZ,6652.0,No,Extended,Bachelor,Employed,M,34886,Suburban,Married,84,3.0,40,0.0,5,Personal Auto,Personal L3,Offer1,Call Center,403.0,Two-Door Car,Small,February
1931,CA,3510.0,No,Extended,College,Employed,M,51800,Urban,Single,92,29.0,12,0.0,1,Personal Auto,Personal L2,Offer1,Agent,299.0,Four-Door Car,Medsize,January
1932,OR,5010.0,No,Basic,Bachelor,Employed,F,64014,Urban,Single,63,26.0,27,0.0,7,Corporate Auto,Corporate L3,Offer1,Agent,296.0,Four-Door Car,Large,January
1933,CA,7443.0,No,Extended,Bachelor,Employed,M,57517,Suburban,Single,96,14.0,61,0.0,8,Corporate Auto,Corporate L3,Offer2,Web,461.0,Four-Door Car,Medsize,January
1934,CA,15656.0,No,Extended,Bachelor,Employed,F,71731,Urban,Single,130,12.0,50,0.0,2,Corporate Auto,Corporate L2,Offer1,Branch,600.0,SUV,Medsize,February
1935,AZ,2486.0,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,70,24.0,58,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,504.0,Two-Door Car,Medsize,February
1936,WA,8972.0,No,Basic,Bachelor,Employed,M,89689,Rural,Divorced,74,14.0,4,0.0,2,Personal Auto,Personal L3,Offer1,Branch,137.0,Four-Door Car,Large,January
1937,OR,5620.0,Yes,Premium,High School or Below,Unemployed,M,0,Suburban,Married,153,25.0,5,0.0,1,Special Auto,Special L1,Offer2,Web,1027.0,SUV,Medsize,January
1938,CA,5452.0,No,Basic,Bachelor,Employed,M,55898,Suburban,Married,69,35.0,87,0.0,6,Personal Auto,Personal L3,Offer1,Agent,442.0,Two-Door Car,Medsize,January
1939,WA,6333.0,No,Extended,Master,Employed,M,71737,Urban,Divorced,79,7.0,79,0.0,4,Personal Auto,Personal L2,Offer3,Agent,339.0,Two-Door Car,Medsize,January
1940,CA,6994.0,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,65,29.0,35,2.0,2,Corporate Auto,Corporate L2,Offer1,Call Center,468.0,Four-Door Car,Medsize,January
1941,CA,8531.0,No,Premium,Bachelor,Employed,M,98677,Rural,Married,105,3.0,40,0.0,9,Personal Auto,Personal L2,Offer1,Branch,108.0,Four-Door Car,Large,January
1942,CA,8311.0,No,Basic,Bachelor,Unemployed,F,0,Urban,Married,72,22.0,79,0.0,2,Corporate Auto,Corporate L2,Offer2,Agent,311.0,Four-Door Car,Medsize,January
1943,AZ,8902.0,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,136,14.0,69,1.0,8,Personal Auto,Personal L3,Offer1,Agent,1091.0,Sports Car,Small,January
1944,AZ,4671.0,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,66,7.0,66,0.0,9,Personal Auto,Personal L3,Offer2,Call Center,475.0,Four-Door Car,Medsize,January
1945,WA,8263.0,No,Extended,High School or Below,Unemployed,M,0,Rural,Married,79,11.0,45,1.0,2,Corporate Auto,Corporate L3,Offer1,Agent,46.0,Two-Door Car,Large,February
1946,CA,13561.0,No,Extended,College,Medical Leave,F,29095,Urban,Divorced,91,29.0,47,1.0,2,Corporate Auto,Corporate L3,Offer1,Agent,281.0,Two-Door Car,Medsize,January
1947,OR,3798.0,No,Premium,Bachelor,Unemployed,M,0,Suburban,Married,107,34.0,70,1.0,1,Corporate Auto,Corporate L3,Offer1,Web,1262.0,Two-Door Car,Medsize,February
1948,CA,9539.0,No,Extended,Bachelor,Unemployed,M,0,Rural,Married,85,7.0,6,0.0,2,Personal Auto,Personal L2,Offer4,Call Center,59.0,Two-Door Car,Medsize,February
1949,AZ,7895.0,No,Basic,Bachelor,Employed,M,21723,Suburban,Single,104,31.0,6,0.0,8,Personal Auto,Personal L2,Offer2,Call Center,749.0,SUV,Medsize,January
1950,WA,2860.0,No,Basic,College,Employed,M,51159,Rural,Married,72,4.0,61,0.0,1,Personal Auto,Personal L2,Offer2,Branch,4.0,Four-Door Car,Medsize,February
1951,WA,4506.0,No,Premium,College,Medical Leave,F,15462,Suburban,Married,115,34.0,18,0.0,1,Corporate Auto,Corporate L2,Offer1,Web,612.0,Four-Door Car,Medsize,February
1952,OR,2151.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,63,8.0,83,0.0,1,Personal Auto,Personal L1,Offer1,Branch,454.0,Two-Door Car,Medsize,January
1953,CA,2413.0,No,Basic,College,Medical Leave,M,27501,Suburban,Married,63,20.0,0,0.0,1,Personal Auto,Personal L1,Offer4,Branch,542.0,Four-Door Car,Medsize,January
1954,OR,2557.0,No,Basic,High School or Below,Employed,M,23867,Suburban,Married,65,6.0,99,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,312.0,Four-Door Car,Medsize,January
1955,CA,7614.0,No,Basic,High School or Below,Retired,M,25944,Suburban,Divorced,70,20.0,34,0.0,2,Personal Auto,Personal L3,Offer4,Branch,336.0,Four-Door Car,Medsize,January
1956,NV,4897.0,No,Basic,Bachelor,Medical Leave,M,24383,Suburban,Single,69,4.0,78,2.0,4,Corporate Auto,Corporate L3,Offer1,Call Center,331.0,Four-Door Car,Medsize,January
1957,CA,5332.0,No,Basic,High School or Below,Employed,M,60986,Suburban,Married,67,30.0,32,0.0,5,Corporate Auto,Corporate L3,Offer4,Branch,418.0,Four-Door Car,Medsize,January
1958,AZ,11905.0,No,Premium,High School or Below,Unemployed,F,0,Suburban,Single,115,19.0,39,0.0,2,Corporate Auto,Corporate L1,Offer1,Branch,840.0,Four-Door Car,Medsize,February
1959,NV,9118.0,No,Basic,High School or Below,Employed,F,56446,Suburban,Married,114,2.0,8,0.0,3,Personal Auto,Personal L3,Offer1,Branch,547.0,SUV,Medsize,January
1960,OR,10899.0,No,Extended,High School or Below,Employed,F,58518,Rural,Married,136,17.0,9,0.0,3,Personal Auto,Personal L3,Offer1,Agent,324.0,SUV,Medsize,January
1961,NV,15641.0,No,Extended,Master,Employed,F,32370,Urban,Married,130,31.0,84,0.0,2,Corporate Auto,Corporate L3,Offer3,Agent,488.0,SUV,Medsize,January
1962,CA,2482.0,No,Basic,High School or Below,Employed,F,77993,Suburban,Single,62,26.0,10,0.0,1,Personal Auto,Personal L1,Offer2,Agent,298.0,Four-Door Car,Medsize,January
1963,WA,7920.0,No,Basic,Master,Unemployed,M,0,Suburban,Married,70,13.0,18,0.0,2,Personal Auto,Personal L1,Offer1,Agent,336.0,Four-Door Car,Medsize,February
1964,AZ,4507.0,No,Basic,Bachelor,Disabled,F,14985,Suburban,Married,116,12.0,45,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,571.0,Sports Car,Medsize,January
1965,OR,16302.0,Yes,Extended,Master,Retired,F,19614,Suburban,Married,85,21.0,32,0.0,2,Personal Auto,Personal L3,Offer2,Agent,574.0,Two-Door Car,Medsize,February
1966,CA,19958.0,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,187,1.0,7,0.0,2,Personal Auto,Personal L2,Offer1,Agent,1346.0,Luxury Car,Large,January
1967,AZ,7463.0,Yes,Extended,College,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Corporate Auto,Corporate L2,Offer2,Call Center,7.0,Two-Door Car,Small,January
1968,OR,4743.0,No,Basic,Bachelor,Employed,F,78596,Rural,Married,118,1.0,70,0.0,1,Personal Auto,Personal L1,Offer1,Branch,134.0,SUV,Medsize,February
1969,AZ,5107.0,Yes,Basic,Bachelor,Employed,F,35625,Urban,Married,65,10.0,56,1.0,3,Personal Auto,Personal L1,Offer2,Agent,289.0,Four-Door Car,Medsize,January
1970,AZ,10383.0,No,Basic,High School or Below,Retired,M,11721,Suburban,Divorced,102,2.0,56,2.0,2,Personal Auto,Personal L2,Offer2,Agent,561.0,SUV,Medsize,February
1971,WA,11681.0,No,Extended,Bachelor,Employed,M,70930,Rural,Divorced,99,2.0,21,0.0,2,Personal Auto,Personal L1,Offer1,Agent,190.0,Four-Door Car,Medsize,February
1972,WA,5019.0,No,Basic,Bachelor,Employed,M,54500,Suburban,Married,63,28.0,17,0.0,6,Corporate Auto,Corporate L2,Offer1,Agent,302.0,Two-Door Car,Small,January
1973,OR,6916.0,No,Extended,College,Employed,F,96610,Suburban,Married,85,6.0,23,0.0,3,Corporate Auto,Corporate L1,Offer4,Call Center,520.0,Four-Door Car,Large,January
1974,OR,9295.0,No,Extended,Bachelor,Employed,F,21370,Rural,Married,77,1.0,35,0.0,2,Corporate Auto,Corporate L3,Offer2,Call Center,105.0,Four-Door Car,Medsize,January
1975,NV,3872.0,No,Premium,High School or Below,Unemployed,F,0,Suburban,Single,111,10.0,75,0.0,1,Personal Auto,Personal L3,Offer2,Agent,799.0,Four-Door Car,Medsize,February
1976,CA,7546.0,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,106,19.0,67,1.0,3,Corporate Auto,Corporate L3,Offer3,Agent,631.0,SUV,Medsize,January
1977,CA,2425.0,No,Basic,Bachelor,Unemployed,F,0,Suburban,Married,67,3.0,42,1.0,1,Corporate Auto,Corporate L3,Offer2,Web,426.0,Four-Door Car,Medsize,January
1978,CA,19483.0,No,Extended,High School or Below,Employed,M,74300,Urban,Married,122,23.0,38,0.0,2,Personal Auto,Personal L3,Offer2,Web,355.0,SUV,Medsize,February
1979,AZ,14334.0,No,Basic,Master,Employed,M,41459,Suburban,Married,71,8.0,4,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,341.0,Four-Door Car,Medsize,February
1980,WA,27383.0,No,Extended,High School or Below,Employed,F,45473,Rural,Married,76,10.0,29,0.0,2,Special Auto,Special L2,Offer4,Branch,189.0,Two-Door Car,Medsize,January
1981,CA,4365.0,No,Basic,Master,Disabled,M,23566,Suburban,Married,112,3.0,43,0.0,1,Personal Auto,Personal L2,Offer2,Agent,538.0,SUV,Medsize,January
1982,CA,7659.0,No,Extended,High School or Below,Employed,M,95701,Rural,Divorced,98,24.0,8,3.0,3,Personal Auto,Personal L3,Offer1,Branch,100.0,Four-Door Car,Small,February
1983,CA,5386.0,No,Basic,College,Employed,F,33716,Suburban,Married,68,18.0,67,1.0,3,Personal Auto,Personal L2,Offer1,Agent,349.0,Four-Door Car,Small,January
1984,WA,2089.0,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,63,30.0,6,1.0,1,Personal Auto,Personal L2,Offer1,Agent,454.0,Four-Door Car,Small,February
1985,CA,5241.0,No,Basic,Bachelor,Employed,F,48345,Urban,Single,67,7.0,1,0.0,7,Personal Auto,Personal L3,Offer2,Web,212.0,Four-Door Car,Large,January
1986,AZ,7624.0,No,Basic,High School or Below,Employed,M,69900,Rural,Married,64,23.0,68,0.0,2,Personal Auto,Personal L2,Offer4,Branch,34.0,Two-Door Car,Large,February
1987,CA,2722.0,Yes,Basic,College,Medical Leave,F,17576,Suburban,Married,71,29.0,70,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,399.0,Four-Door Car,Medsize,February
1988,OR,5054.0,No,Basic,Doctor,Employed,F,22241,Suburban,Married,63,1.0,1,0.0,6,Personal Auto,Personal L3,Offer2,Web,343.0,Four-Door Car,Medsize,February
1989,CA,25465.0,Yes,Extended,College,Retired,F,13663,Suburban,Single,97,1.0,66,0.0,2,Personal Auto,Personal L2,Offer1,Branch,466.0,Four-Door Car,Small,February
1990,WA,12846.0,No,Basic,College,Employed,M,93210,Suburban,Married,107,6.0,9,2.0,2,Personal Auto,Personal L3,Offer1,Agent,514.0,SUV,Small,February
1991,CA,5415.0,No,Extended,Bachelor,Employed,F,57452,Suburban,Married,136,25.0,10,1.0,1,Personal Auto,Personal L1,Offer1,Branch,653.0,SUV,Large,February
1992,OR,8329.0,No,Basic,High School or Below,Employed,F,30865,Rural,Married,104,33.0,31,0.0,7,Personal Auto,Personal L3,Offer1,Web,21.0,SUV,Medsize,January
1993,CA,7430.0,No,Extended,College,Employed,M,61568,Urban,Married,93,3.0,36,0.0,3,Corporate Auto,Corporate L1,Offer1,Agent,241.0,Four-Door Car,Medsize,January
1994,OR,3714.0,No,Extended,High School or Below,Employed,M,93308,Suburban,Married,92,20.0,56,0.0,1,Personal Auto,Personal L3,Offer2,Agent,442.0,Four-Door Car,Medsize,February
1995,OR,8798.0,No,Premium,Bachelor,Employed,F,24550,Suburban,Married,111,12.0,6,0.0,9,Personal Auto,Personal L1,Offer2,Agent,536.0,Four-Door Car,Small,February
1996,WA,16728.0,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,237,1.0,29,0.0,5,Personal Auto,Personal L1,Offer3,Agent,1706.0,Luxury Car,Medsize,January
1997,CA,2327.0,No,Basic,Doctor,Unemployed,M,0,Suburban,Married,62,26.0,98,0.0,1,Personal Auto,Personal L3,Offer3,Agent,625.0,Four-Door Car,Small,February
1998,AZ,2577.0,No,Basic,High School or Below,Employed,M,74215,Suburban,Married,64,27.0,41,0.0,1,Personal Auto,Personal L3,Offer4,Branch,345.0,Two-Door Car,Small,January
1999,OR,6625.0,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,62,27.0,53,0.0,2,Corporate Auto,Corporate L3,Offer1,Branch,298.0,Two-Door Car,Medsize,February
2000,OR,5290.0,No,Basic,High School or Below,Employed,F,27179,Suburban,Divorced,66,8.0,91,0.0,9,Personal Auto,Personal L3,Offer1,Branch,344.0,Four-Door Car,Medsize,February
2001,CA,13931.0,No,Basic,Bachelor,Employed,M,37695,Urban,Married,118,11.0,62,0.0,2,Personal Auto,Personal L2,Offer1,Branch,352.0,SUV,Medsize,January
2002,CA,15306.0,No,Basic,High School or Below,Employed,F,83868,Rural,Married,189,30.0,91,0.0,7,Corporate Auto,Corporate L2,Offer1,Agent,135.0,Luxury Car,Medsize,February
2003,CA,7725.0,No,Premium,Bachelor,Employed,F,32051,Suburban,Married,193,4.0,40,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,926.0,SUV,Medsize,February
2004,OR,4505.0,No,Basic,College,Employed,F,67801,Rural,Divorced,115,12.0,45,1.0,1,Personal Auto,Personal L3,Offer3,Web,24.0,SUV,Medsize,February
2005,AZ,14350.0,No,Premium,Bachelor,Employed,M,73222,Urban,Married,180,24.0,43,0.0,3,Personal Auto,Personal L1,Offer1,Call Center,822.0,SUV,Large,February
2006,AZ,2592.0,Yes,Basic,High School or Below,Employed,M,72421,Suburban,Married,65,8.0,23,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Small,January
2007,CA,2763.0,No,Basic,College,Employed,F,72335,Suburban,Single,69,23.0,35,0.0,1,Personal Auto,Personal L1,Offer2,Web,331.0,Four-Door Car,Medsize,February
2008,OR,4909.0,No,Basic,High School or Below,Employed,M,98693,Suburban,Married,61,7.0,57,0.0,3,Personal Auto,Personal L2,Offer2,Agent,293.0,Four-Door Car,Small,January
2009,OR,8383.0,Yes,Basic,High School or Below,Retired,M,19683,Suburban,Married,117,17.0,41,1.0,9,Personal Auto,Personal L3,Offer1,Web,562.0,Sports Car,Medsize,February
2010,AZ,7292.0,No,Extended,Master,Employed,F,84629,Urban,Married,90,19.0,17,0.0,5,Personal Auto,Personal L3,Offer2,Web,412.0,Four-Door Car,Large,February
2011,WA,13269.0,No,Premium,High School or Below,Employed,M,32762,Urban,Married,112,26.0,74,0.0,2,Corporate Auto,Corporate L3,Offer1,Call Center,327.0,Four-Door Car,Medsize,January
2012,AZ,24980.0,No,Basic,College,Employed,F,88440,Rural,Single,70,19.0,30,0.0,2,Personal Auto,Personal L3,Offer4,Branch,27.0,Two-Door Car,Medsize,February
2013,OR,5917.0,No,Premium,High School or Below,Unemployed,M,0,Suburban,Single,169,31.0,77,0.0,1,Personal Auto,Personal L3,Offer4,Agent,1207.0,SUV,Medsize,February
2014,OR,3678.0,No,Extended,High School or Below,Employed,M,31349,Suburban,Married,93,10.0,32,0.0,1,Corporate Auto,Corporate L2,Offer4,Branch,446.0,Four-Door Car,Medsize,January
2015,NV,8269.0,No,Basic,College,Medical Leave,M,20225,Suburban,Married,114,27.0,64,1.0,6,Special Auto,Special L2,Offer3,Call Center,547.0,SUV,Small,February
2016,AZ,11764.0,No,Extended,High School or Below,Employed,F,28806,Suburban,Married,99,35.0,75,0.0,2,Special Auto,Special L3,Offer2,Call Center,475.0,Four-Door Car,Medsize,February
2017,OR,8557.0,No,Premium,High School or Below,Employed,F,52440,Urban,Single,109,27.0,58,0.0,3,Corporate Auto,Corporate L3,Offer2,Agent,371.0,Four-Door Car,Medsize,February
2018,OR,8776.0,No,Basic,High School or Below,Employed,F,28360,Suburban,Married,73,8.0,65,0.0,2,Personal Auto,Personal L3,Offer1,Branch,864.0,Four-Door Car,Medsize,February
2019,OR,4234.0,No,Premium,Bachelor,Employed,F,95647,Suburban,Single,106,11.0,30,0.0,1,Personal Auto,Personal L2,Offer1,Agent,509.0,Two-Door Car,Medsize,February
2020,OR,11042.0,No,Basic,College,Unemployed,F,0,Suburban,Single,64,14.0,91,0.0,2,Personal Auto,Personal L3,Offer2,Agent,416.0,Four-Door Car,Medsize,January
2021,CA,5367.0,No,Basic,College,Employed,F,97742,Rural,Single,67,33.0,57,0.0,5,Personal Auto,Personal L1,Offer1,Agent,68.0,Four-Door Car,Small,January
2022,CA,8901.0,No,Basic,High School or Below,Employed,M,46814,Suburban,Married,113,7.0,19,0.0,3,Corporate Auto,Corporate L1,Offer4,Agent,542.0,SUV,Medsize,February
2023,OR,3489.0,No,Extended,Bachelor,Unemployed,M,0,Suburban,Married,98,29.0,37,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,706.0,Four-Door Car,Small,February
2024,OR,5627.0,No,Basic,Bachelor,Employed,F,46897,Suburban,Married,70,16.0,47,0.0,3,Personal Auto,Personal L2,Offer4,Branch,344.0,Four-Door Car,Small,January
2025,CA,31758.0,No,Extended,Master,Employed,F,44207,Urban,Married,99,23.0,57,0.0,2,Corporate Auto,Corporate L2,Offer3,Agent,408.0,Four-Door Car,Medsize,January
2026,OR,2658.0,No,Basic,College,Unemployed,M,0,Suburban,Married,71,22.0,25,0.0,1,Personal Auto,Personal L1,Offer3,Call Center,341.0,Four-Door Car,Medsize,January
2027,OR,15809.0,No,Extended,College,Employed,M,86347,Urban,Married,130,17.0,93,0.0,2,Personal Auto,Personal L2,Offer1,Web,594.0,Sports Car,Medsize,January
2028,CA,20767.0,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,9.0,28,2.0,2,Personal Auto,Personal L3,Offer3,Call Center,350.0,Two-Door Car,Medsize,January
2029,WA,8256.0,No,Basic,High School or Below,Employed,F,54040,Rural,Married,103,14.0,88,0.0,4,Personal Auto,Personal L2,Offer1,Agent,60.0,SUV,Medsize,January
2030,OR,34611.0,Yes,Basic,High School or Below,Employed,F,20090,Suburban,Married,109,10.0,59,0.0,2,Personal Auto,Personal L2,Offer2,Agent,523.0,Sports Car,Medsize,January
2031,CA,5258.0,No,Basic,High School or Below,Employed,F,37874,Rural,Married,65,30.0,65,0.0,8,Corporate Auto,Corporate L3,Offer1,Branch,41.0,Four-Door Car,Large,February
2032,WA,19069.0,No,Premium,College,Unemployed,M,0,Suburban,Single,102,29.0,72,2.0,2,Personal Auto,Personal L3,Offer1,Branch,734.0,Four-Door Car,Medsize,February
2033,OR,4426.0,No,Basic,College,Employed,M,63597,Rural,Married,114,10.0,31,2.0,1,Personal Auto,Personal L3,Offer2,Branch,184.0,SUV,Medsize,February
2034,OR,5927.0,No,Basic,Bachelor,Employed,F,58733,Suburban,Married,74,26.0,42,0.0,9,Corporate Auto,Corporate L2,Offer2,Call Center,355.0,Four-Door Car,Small,February
2035,OR,5004.0,No,Basic,Master,Disabled,M,25486,Rural,Married,65,15.0,53,0.0,3,Special Auto,Special L3,Offer1,Web,72.0,Two-Door Car,Medsize,February
2036,OR,2453.0,No,Basic,Bachelor,Employed,F,52785,Rural,Married,61,2.0,90,0.0,1,Corporate Auto,Corporate L1,Offer2,Agent,46.0,Two-Door Car,Medsize,January
2037,CA,9710.0,No,Extended,High School or Below,Employed,M,33190,Rural,Single,123,1.0,95,0.0,4,Personal Auto,Personal L2,Offer1,Call Center,41.0,Sports Car,Medsize,January
